Province_State,Country,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
South Carolina,US,4/1/2020 21:58,33.21927586,-81.05659969,4,0,0,0,"Bamberg, South Carolina, US"
Georgia,US,4/1/2020 21:58,34.35607081,-83.49644388,3,0,0,0,"Banks, Georgia, US"
Idaho,US,4/1/2020 21:58,42.67002716,-112.2233311,4,0,0,0,"Bannock, Idaho, US"
West Virginia,US,4/1/2020 21:58,39.1307219,-80.00350858,1,0,0,0,"Barbour, West Virginia, US"
North Dakota,US,4/1/2020 21:58,46.93579637,-98.06605978,2,0,0,0,"Barnes, North Dakota, US"
Massachusetts,US,4/1/2020 21:58,41.72980578,-70.28854339,255,3,0,0,"Barnstable, Massachusetts, US"
South Carolina,US,4/1/2020 21:58,33.26679302,-81.43584352,2,0,0,0,"Barnwell, South Carolina, US"
Kentucky,US,4/1/2020 21:58,36.96469836,-85.93338945,1,0,0,0,"Barren, Kentucky, US"
Georgia,US,4/1/2020 21:58,33.99148694,-83.71436292,20,2,0,0,"Barrow, Georgia, US"
Michigan,US,4/1/2020 21:58,42.59513984,-85.30834519,2,0,0,0,"Barry, Michigan, US"
Missouri,US,4/1/2020 21:58,36.70978521,-93.82919888,1,0,0,0,"Barry, Missouri, US"
Indiana,US,4/1/2020 21:58,39.20744865,-85.89558181,13,0,0,0,"Bartholomew, Indiana, US"
Kansas,US,4/1/2020 21:58,38.47889676,-98.75636726,1,0,0,0,"Barton, Kansas, US"
Georgia,US,4/1/2020 21:58,34.23732119,-84.83887523,144,4,0,0,"Bartow, Georgia, US"
Texas,US,4/1/2020 21:58,30.10370699,-97.31206354,8,0,0,0,"Bastrop, Texas, US"
Missouri,US,4/1/2020 21:58,38.25271289,-94.34113157,2,0,0,0,"Bates, Missouri, US"
Arkansas,US,4/1/2020 21:58,36.28784385,-92.33782872,1,0,0,0,"Baxter, Arkansas, US"
Florida,US,4/1/2020 21:58,30.26548745,-85.62122584,10,0,0,0,"Bay, Florida, US"
Michigan,US,4/1/2020 21:58,43.70639106,-83.98731479,10,0,0,0,"Bay, Michigan, US"
Wisconsin,US,4/1/2020 21:58,46.52868768,-91.19716729,3,0,0,0,"Bayfield, Wisconsin, US"
South Dakota,US,4/1/2020 21:58,44.41464384,-98.27858469,21,1,0,0,"Beadle, South Dakota, US"
North Carolina,US,4/1/2020 21:58,35.48531943,-76.84325809,7,0,0,0,"Beaufort, North Carolina, US"
South Carolina,US,4/1/2020 21:58,32.39226291,-80.72619758,101,2,0,0,"Beaufort, South Carolina, US"
Louisiana,US,4/1/2020 21:58,30.64836518,-93.34173616,8,0,0,0,"Beauregard, Louisiana, US"
Pennsylvania,US,4/1/2020 21:58,40.6825484,-80.34921611,54,2,0,0,"Beaver, Pennsylvania, US"
Oklahoma,US,4/1/2020 21:58,35.26862449,-99.68128023,1,0,0,0,"Beckham, Oklahoma, US"
Pennsylvania,US,4/1/2020 21:58,40.00522157,-78.48998442,3,0,0,0,"Bedford, Pennsylvania, US"
Tennessee,US,4/1/2020 21:58,35.51123746,-86.45549096,4,0,0,0,"Bedford, Tennessee, US"
Virginia,US,4/1/2020 21:58,37.3080028,-79.5281964,3,0,0,0,"Bedford, Virginia, US"
New Hampshire,US,4/1/2020 21:58,43.51637314,-71.41684235,12,0,0,0,"Belknap, New Hampshire, US"
Texas,US,4/1/2020 21:58,31.03736027,-97.4785025,46,1,0,0,"Bell, Texas, US"
Ohio,US,4/1/2020 21:58,40.01625942,-80.9924051,11,0,0,0,"Belmont, Ohio, US"
Minnesota,US,4/1/2020 21:58,47.97373527,-94.93732139,4,0,0,0,"Beltrami, Minnesota, US"
Georgia,US,4/1/2020 21:58,31.76095874,-83.22145359,3,0,0,0,"Ben Hill, Georgia, US"
Vermont,US,4/1/2020 21:58,43.03519828,-73.09048868,18,0,0,0,"Bennington, Vermont, US"
Arkansas,US,4/1/2020 21:58,36.33644656,-94.25680817,39,0,0,0,"Benton, Arkansas, US"
Indiana,US,4/1/2020 21:58,40.60626947,-87.31093999,1,0,0,0,"Benton, Indiana, US"
Iowa,US,4/1/2020 21:58,42.08011739,-92.06463573,7,0,0,0,"Benton, Iowa, US"
Minnesota,US,4/1/2020 21:58,45.69804958,-93.99514135,1,0,0,0,"Benton, Minnesota, US"
Mississippi,US,4/1/2020 21:58,34.81681228,-89.18945516,4,0,0,0,"Benton, Mississippi, US"
Missouri,US,4/1/2020 21:58,38.29503305,-93.28756116,3,0,0,0,"Benton, Missouri, US"
Oregon,US,4/1/2020 21:58,44.49167306,-123.4316987,13,1,0,0,"Benton, Oregon, US"
Tennessee,US,4/1/2020 21:58,36.07110411,-88.06849355,4,0,0,0,"Benton, Tennessee, US"
Washington,US,4/1/2020 21:58,46.23946995,-119.5120834,108,7,0,0,"Benton, Washington, US"
New Jersey,US,4/1/2020 21:58,40.96010917,-74.07164325,3494,75,0,0,"Bergen, New Jersey, US"
South Carolina,US,4/1/2020 21:58,33.20222596,-79.94654523,18,0,0,0,"Berkeley, South Carolina, US"
West Virginia,US,4/1/2020 21:58,39.46704621,-78.02414609,21,0,0,0,"Berkeley, West Virginia, US"
Pennsylvania,US,4/1/2020 21:58,40.41570541,-75.92457766,151,0,0,0,"Berks, Pennsylvania, US"
Massachusetts,US,4/1/2020 21:58,42.37428441,-73.20524838,183,4,0,0,"Berkshire, Massachusetts, US"
New Mexico,US,4/1/2020 21:58,35.05163625,-106.6703554,129,4,0,0,"Bernalillo, New Mexico, US"
Georgia,US,4/1/2020 21:58,31.27590016,-83.2252992,2,0,0,0,"Berrien, Georgia, US"
Michigan,US,4/1/2020 21:58,41.95447397,-86.4131308,38,1,0,0,"Berrien, Michigan, US"
North Carolina,US,4/1/2020 21:58,36.0688473,-76.96545943,6,0,0,0,"Bertie, North Carolina, US"
Texas,US,4/1/2020 21:58,29.44928723,-98.52019748,207,9,0,0,"Bexar, Texas, US"
Alabama,US,4/1/2020 21:58,32.99642064,-87.1251146,3,0,0,0,"Bibb, Alabama, US"
Georgia,US,4/1/2020 21:58,32.80904227,-83.70489165,22,0,0,0,"Bibb, Georgia, US"
Louisiana,US,4/1/2020 21:58,32.34569994,-93.05398492,6,1,0,0,"Bienville, Louisiana, US"
Minnesota,US,4/1/2020 21:58,45.42712824,-96.41403739,1,0,0,0,"Big Stone, Minnesota, US"
Idaho,US,4/1/2020 21:58,43.2167288,-112.3978437,2,0,0,0,"Bingham, Idaho, US"
Iowa,US,4/1/2020 21:58,42.4704581,-92.30524729,7,0,0,0,"Black Hawk, Iowa, US"
Idaho,US,4/1/2020 21:58,43.4085812,-113.9752658,228,2,0,0,"Blaine, Idaho, US"
Pennsylvania,US,4/1/2020 21:58,40.47961444,-78.34917412,4,0,0,0,"Blair, Pennsylvania, US"
Texas,US,4/1/2020 21:58,30.26640707,-98.3999852,1,0,0,0,"Blanco, Texas, US"
Georgia,US,4/1/2020 21:58,32.43829035,-83.33035166,1,0,0,0,"Bleckley, Georgia, US"
Tennessee,US,4/1/2020 21:58,35.59942968,-85.20611967,2,0,0,0,"Bledsoe, Tennessee, US"
