Date,Country,Confirmed
3/20/2020,Australia,353
3/21/2020,Australia,436
3/22/2020,Australia,669
3/23/2020,Australia,669
3/24/2020,Australia,818
3/25/2020,Australia,1029
3/26/2020,Australia,1219
3/27/2020,Australia,1405
3/28/2020,Australia,1617
3/29/2020,Australia,1791
3/3/2020,Australia,13
3/30/2020,Australia,2032
3/31/2020,Australia,2032
3/4/2020,Australia,22
3/5/2020,Australia,22
3/6/2020,Australia,26
3/7/2020,Australia,28
3/8/2020,Australia,38
3/9/2020,Australia,48
4/1/2020,Australia,2182
1/22/2020,Australia,0
1/23/2020,Australia,0
1/24/2020,Australia,0
1/25/2020,Australia,0
1/26/2020,Australia,0
1/27/2020,Australia,0
1/28/2020,Australia,0
1/29/2020,Australia,0
1/30/2020,Australia,0
1/31/2020,Australia,0
2/1/2020,Australia,0
2/10/2020,Australia,0
2/11/2020,Australia,0
2/12/2020,Australia,0
2/13/2020,Australia,0
2/14/2020,Australia,0
2/15/2020,Australia,0
2/16/2020,Australia,0
2/17/2020,Australia,0
2/18/2020,Australia,0
2/19/2020,Australia,0
2/2/2020,Australia,0
2/20/2020,Australia,0
2/21/2020,Australia,0
2/22/2020,Australia,0
2/23/2020,Australia,0
2/24/2020,Australia,0
2/25/2020,Australia,0
2/26/2020,Australia,0
2/27/2020,Australia,0
2/28/2020,Australia,0
2/29/2020,Australia,0
2/3/2020,Australia,0
2/4/2020,Australia,0
2/5/2020,Australia,0
2/6/2020,Australia,0
2/7/2020,Australia,0
2/8/2020,Australia,0
2/9/2020,Australia,0
3/1/2020,Australia,0
3/10/2020,Australia,1
3/11/2020,Australia,1
3/12/2020,Australia,1
3/13/2020,Australia,1
3/14/2020,Australia,1
3/15/2020,Australia,1
3/16/2020,Australia,1
3/17/2020,Australia,1
3/18/2020,Australia,1
3/19/2020,Australia,1
3/2/2020,Australia,0
3/20/2020,Australia,3
3/21/2020,Australia,3
3/22/2020,Australia,5
3/23/2020,Australia,5
3/24/2020,Australia,6
3/25/2020,Australia,6
3/26/2020,Australia,12
3/27/2020,Australia,12
3/28/2020,Australia,15
3/29/2020,Australia,15
3/3/2020,Australia,0
3/30/2020,Australia,15
3/31/2020,Australia,17
3/4/2020,Australia,1
3/5/2020,Australia,1
3/6/2020,Australia,0
3/7/2020,Australia,0
3/8/2020,Australia,0
3/9/2020,Australia,0
4/1/2020,Australia,19
1/22/2020,Australia,0
1/23/2020,Australia,0
1/24/2020,Australia,0
1/25/2020,Australia,0
1/26/2020,Australia,0
1/27/2020,Australia,0
1/28/2020,Australia,0
1/29/2020,Australia,1
1/30/2020,Australia,3
1/31/2020,Australia,2
2/1/2020,Australia,3
2/10/2020,Australia,5
2/11/2020,Australia,5
2/12/2020,Australia,5
2/13/2020,Australia,5
2/14/2020,Australia,5
2/15/2020,Australia,5
2/16/2020,Australia,5
2/17/2020,Australia,5
2/18/2020,Australia,5
2/19/2020,Australia,5
2/2/2020,Australia,2
2/20/2020,Australia,5
2/21/2020,Australia,5
2/22/2020,Australia,5
2/23/2020,Australia,5
2/24/2020,Australia,5
2/25/2020,Australia,5
2/26/2020,Australia,5
2/27/2020,Australia,5
2/28/2020,Australia,5
